platform,prompt,fan_out_query
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",Youth Villages Kentucky Louisville behavioral health outpatient
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",Seven Counties Services Louisville adolescent mental health therapy renamed Centerstone
chat_gpt,"Which Louisville providers help teens with anxiety, depression, or trauma?",Norton Children's behavioral and mental health child and adolescent psychiatry 2 to 21
gemini,What are good therapy options in Louisville for anxiety and depression?,therapy options for anxiety and depression Louisville KY
gemini,What are good therapy options in Louisville for anxiety and depression?,anxiety and depression counseling Louisville KY
gemini,What are good therapy options in Louisville for anxiety and depression?,mental health services Louisville KY
gemini,"Who are the best mental health counseling providers in Louisville, KY?",best mental health counseling providers Louisville KY
gemini,"Who are the best mental health counseling providers in Louisville, KY?",top rated therapists Louisville KY
gemini,"Who are the best mental health counseling providers in Louisville, KY?",mental health services Louisville KY
chat_gpt,Find a Louisville therapist who accepts Medicaid.,Louisville KY therapist accepts Medicaid
chat_gpt,Find a Louisville therapist who accepts Medicaid.,behavioral health clinic accepts Medicaid Louisville KY therapy
chat_gpt,Find a Louisville therapist who accepts Medicaid.,Kentuckiana therapist Medicaid accepted
chat_gpt,Find a Louisville therapist who accepts Medicaid.,Metro Louisville mental health Medicaid therapy
chat_gpt,"What is community-based mental health care, and who provides it in Louisville?",Louisville KY community mental health services providers Jefferson County
chat_gpt,"What is community-based mental health care, and who provides it in Louisville?",Behavioral Health Louisville outpatient community mental health provider
chat_gpt,"What is community-based mental health care, and who provides it in Louisville?",Kentucky community mental health centers Louisville contact
chat_gpt,"What is community-based mental health care, and who provides it in Louisville?",Norton Healthcare behavioral health outpatient counseling Louisville
claude,"Who are the best mental health counseling providers in Louisville, KY?",best mental health counseling providers Louisville KY 2025
claude,"Who are the best mental health counseling providers in Louisville, KY?",top rated therapists counselors Louisville Kentucky
claude,Who offers family therapy and care coordination in Louisville?,family therapy Louisville Kentucky
claude,Who offers family therapy and care coordination in Louisville?,care coordination services Louisville Kentucky
gemini,Who offers in-home therapy or community-based mental health support in Louisville?,in-home therapy Louisville KY
gemini,Who offers in-home therapy or community-based mental health support in Louisville?,community-based mental health support Louisville KY
gemini,Who offers in-home therapy or community-based mental health support in Louisville?,Louisville mental health services
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",best mental health counseling providers Louisville KY therapist group practice
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",Louisville Kentucky counseling center evidence-based therapy outpatient
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",NAMI Louisville Kentucky family support education mental health
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",Kynect therapy Louisville Medicaid mental health providers
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",Centerstone Louisville KY outpatient counseling therapy
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",Louisville Behavioral Health outpatient therapy counseling
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",LifeStance Louisville KY therapy
chat_gpt,"Who are the best mental health counseling providers in Louisville, KY?",KentuckyOne Health behavioral health Louisville outpatient therapy
claude,"What is community-based mental health care, and who provides it in Louisville?",community-based mental health care definition
claude,"What is community-based mental health care, and who provides it in Louisville?",community-based mental health care providers Louisville Kentucky
claude,"What is community-based mental health care, and who provides it in Louisville?",community mental health providers Louisville Kentucky 2024
claude,"What is community-based mental health care, and who provides it in Louisville?",Louisville Kentucky community mental health centers organizations
claude,"What is community-based mental health care, and who provides it in Louisville?",Louisville Kentucky community mental health centers organizations
claude,"What is community-based mental health care, and who provides it in Louisville?",Louisville Kentucky community mental health centers organizations
claude,"What is community-based mental health care, and who provides it in Louisville?",Louisville Kentucky community mental health providers Seven Counties Centerstone NAMI
claude,What are good therapy options in Louisville for anxiety and depression?,therapy anxiety depression Louisville Kentucky 2025
claude,What are good therapy options in Louisville for anxiety and depression?,best therapists counselors anxiety depression Louisville KY
gemini,"Which Louisville providers help teens with anxiety, depression, or trauma?",Louisville providers for teens anxiety depression trauma
gemini,"Which Louisville providers help teens with anxiety, depression, or trauma?",Louisville adolescent mental health services
gemini,"Which Louisville providers help teens with anxiety, depression, or trauma?",Therapists in Louisville specializing in teen trauma
gemini,"Which Louisville providers help teens with anxiety, depression, or trauma?",Louisville child and adolescent psychiatrists
gemini,"Which Louisville providers help teens with anxiety, depression, or trauma?",Trauma-informed therapy Louisville teens
gemini,Compare local outpatient mental health providers in Louisville.,outpatient mental health providers Louisville KY
gemini,Compare local outpatient mental health providers in Louisville.,list of mental health clinics Louisville KY
gemini,Compare local outpatient mental health providers in Louisville.,top outpatient mental health Louisville KY
chat_gpt,"Recommend non-hospital mental health counseling options in Louisville, KY.",Louisville KY community mental health center outpatient counseling
chat_gpt,"Recommend non-hospital mental health counseling options in Louisville, KY.",Metro Louisville mental health counseling sliding scale clinic
chat_gpt,"Recommend non-hospital mental health counseling options in Louisville, KY.",NAMI Louisville free support groups
chat_gpt,"Recommend non-hospital mental health counseling options in Louisville, KY.",Jewish Family and Career Services Louisville counseling mental health
gemini,Which Louisville mental health websites have useful service and referral information?,Louisville mental health resources
gemini,Which Louisville mental health websites have useful service and referral information?,Louisville mental health services
gemini,Which Louisville mental health websites have useful service and referral information?,Louisville mental health referrals
gemini,What should I ask before choosing a therapist in Louisville?,questions to ask before choosing a therapist Louisville KY
gemini,What should I ask before choosing a therapist in Louisville?,therapist directories Louisville KY
gemini,What should I ask before choosing a therapist in Louisville?,types of therapy Louisville KY
gemini,What should I ask before choosing a therapist in Louisville?,therapist fees Louisville KY
gemini,What should I ask before choosing a therapist in Louisville?,therapist insurance Louisville KY
claude,Who offers in-home therapy or community-based mental health support in Louisville?,in-home therapy community mental health support Louisville Kentucky
claude,Who offers in-home therapy or community-based mental health support in Louisville?,community based mental health services Louisville KY 2024 2025
claude,"Which Louisville providers help teens with anxiety, depression, or trauma?",Louisville Kentucky teen adolescent anxiety depression trauma therapy providers 2024
claude,"Which Louisville providers help teens with anxiety, depression, or trauma?",Louisville KY mental health counseling teenagers anxiety depression trauma 2025
chat_gpt,What are good therapy options in Louisville for anxiety and depression?,Louisville KY therapy anxiety depression sliding scale
chat_gpt,What are good therapy options in Louisville for anxiety and depression?,University of Louisville counseling center anxiety depression
chat_gpt,What are good therapy options in Louisville for anxiety and depression?,KIPDA mental health center Louisville sliding scale therapy
chat_gpt,What are good therapy options in Louisville for anxiety and depression?,Behavioral health urgent walk-in Louisville KY crisis stabilization
