path,sourceWordPressId,sourceTitle,importStatus,userReviewStatus,metadataStatus,pageTypeSchemaStatus,relationshipStatus,designStatus,implementationStatus,templateFamily,pageType,schemaType,titleTag,metaDescription,primaryKeyword,secondaryKeywords,phraseHeadings,positioningFrame,copyAngle,examplesToInclude,languageToAvoid,primaryParent,relatedChildren,gutenbergBasicsPlan,userImplementationInstruction,dirtyNotes,proposedPageTitle,proposedTitleTag,serviceMenuRole,serviceMenuDepth,serviceMenuParent,serviceMenuLabel,serviceMenuChildren
/attachment-therapy/,15,"Attachment Therapy in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Service,MedicalWebPage; FAQPage,"Attachment Therapy in Louisville, KY | LMHG","Attachment therapy in Louisville for families working on trust, caregiver connection, emotional safety, relationship repair, and steadier routines.",attachment therapy louisville ky,attachment based therapy louisville ky; parent child therapy louisville ky,Rebuilding trust and connection; Attachment work in everyday family life; Repair takes structure and patience,Family/attachment support,"Use grounded examples of connection, repair, and caregiver-child patterns. Avoid sounding like a textbook on attachment theory.",Caregiver repair; child trust; trauma history; routines; emotional safety; family therapy connection,attachment pathology; dysregulated attachment presentation; corrective emotional experience,/family-therapy/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/family-therapy/,Attachment Therapy,
/bullitt-county-ky/,16,"Mental Health Services in Bullitt County, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,location-access,Service area,MedicalWebPage,"Mental Health Services in Bullitt County, KY | LMHG","Mental health services for Bullitt County clients through LMHG counseling, therapy, telehealth, case management, and selected community-based care.",mental health services bullitt county ky,therapy bullitt county ky; counseling bullitt county ky,"Support for Bullitt County clients; Louisville-based practice, flexible care options; Therapy and case management when appropriate",County service area,"Be clear about service coverage, not a fake office.",Travel/telehealth considerations; community support when appropriate; Louisville office,Bullitt County office; near every neighborhood; copied city text,/locations/,,"Location/access template: one-office/multiple-setting language, setting facts, service links, conservative local SEO copy, CTA. Avoid doorway-page patterns.",,,,,,,,,
/careers/,17,"Mental Health Careers in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,trust,Careers page,MedicalWebPage,"Mental Health Careers in Louisville, KY | LMHG","Mental health careers in Louisville at LMHG for therapists, counselors, case managers, community support staff, and care team roles.",mental health careers louisville ky,therapy jobs louisville ky; case management jobs louisville ky,"Join a multidisciplinary care team; Therapy, case management, and community support roles; Work that is local and practical",Recruiting,Separate recruiting from client care. This can sound professional but still human.,Therapists; TCM; CSA; multidisciplinary team; Louisville practice; apply process,family culture cliche; rockstar clinician; client-facing CTA language,/,,"Trust/support template: warm but factual page structure for team, contact, insurance, reviews, careers. Contact/insurance/cost language must stay consistent.",,,,,,,,,
/case-management/,18,"Targeted Case Management in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Community-service page,MedicalWebPage; FAQPage,"Targeted Case Management in Louisville, KY | LMHG","Targeted case management in Louisville for Medicaid clients who need care coordination, referrals, resources, appointments, paperwork, and follow-through.",targeted case management louisville ky,mental health case management louisville ky; medicaid case management louisville ky,Help connecting the pieces of care; What targeted case management can support; Care coordination for practical barriers,Targeted case management,"Define TCM plainly. Make it sound useful and relational, not bureaucratic.",Scheduling; referrals; benefits/resources; school communication; transportation barriers; care plan follow-through,case management utilization; eligible population services; beneficiary compliance,/community-based-services/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/community-based-services/,Case Management,
/child-behavioral-intervention/,19,"Child Behavioral Therapy in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Service,MedicalWebPage; FAQPage,"Child Behavioral Therapy in Louisville, KY | LMHG","Child behavioral therapy in Louisville for emotional outbursts, behavior concerns, school stress, routines, caregiver support, and regulation skills.",child behavioral therapy louisville ky,child behavioral intervention louisville ky; child behavior therapist louisville ky,When behavior is communication; Support for home and school patterns; Helping caregivers respond more steadily,Child behavior support,"Frame behavior as a signal, not a character flaw. Keep parent examples concrete.",Outbursts; transitions; school calls; routines; parent coaching; coordination with family therapy,problem child; defiance; behavior modification program,/child-counseling/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/child-counseling/,Child Behavioral Intervention,
/child-counseling/,20,"Child Counseling in Louisville, KY",matched-public-and-lmhg,reviewed-with-revision,revise-title,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,service,Broad service category,MedicalWebPage; FAQPage,"Child Counseling and Therapy in Louisville, KY | LMHG","Child counseling in Louisville for behavior concerns, emotional regulation, trauma, school stress, anxiety, and practical caregiver support.",child counseling louisville ky,child therapy louisville ky; child therapist louisville ky,Support for children and caregivers; When child counseling may help; Therapy that includes the family context,Child therapy/counseling,Use parent-facing plain language. Explain what parents may see at home or school and how care may include caregivers.,Meltdowns; school stress; sleep/routines; trauma; parent involvement; play therapy when offered,pediatric behavioral health intervention; noncompliance; pathology,/services/,/adolescent-counseling/; /play-therapy/; /child-behavioral-intervention/,"Broad service template: hero Group, service-routing card Grid, explanatory sections, related services, FAQ section, CTA. Use core Group/Columns/List/Buttons/Details where possible.",Rename Child Counseling core service page label/title to Child Therapy. Preserve slug/path pending explicit routing decision. User confirmed visible/core-service label should be Child Therapy; services menu relationship uses this corrected label while preserving /child-counseling/ slug until routing is approved.,Source title says Child Counseling; user wants Child Therapy for core service page naming.,"Child Therapy in Louisville, KY","Child Therapy in Louisville, KY | LMHG",core-service,1,,Child Therapy,/adolescent-counseling/; /play-therapy/; /child-behavioral-intervention/
/co-parenting/,21,"Co-Parenting Services in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Court-service page,MedicalWebPage; FAQPage,"Co-Parenting Services in Louisville, KY | LMHG","Co-parenting services in Louisville for child-focused communication, parenting structure, coordination, boundaries, and steadier family transitions.",co parenting services louisville ky,coparenting services louisville ky; co parenting counseling louisville ky,Child-focused co-parenting support; Communication that reduces pressure on children; Structure after separation or conflict,Co-parenting support,Keep the child-centered frame. Avoid taking sides or sounding like legal advocacy.,Shared routines; communication rules; transition planning; conflict reduction; documentation boundaries,win custody; high-conflict labels without context; blame one parent,/court-ordered/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/court-ordered/,Co-Parenting,
/community-based-services/,22,"Community-Based Mental Health Services in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,service,Broad service category,MedicalWebPage; FAQPage,"Community-Based Mental Health Services in Louisville, KY | LMHG","Community-based mental health services in Louisville including targeted case management, community support, in-home help, resources, and follow-through.",community based mental health services louisville ky,targeted case management louisville ky; community support services louisville ky,Support beyond the therapy room; Targeted case management and community support; Help with real-life barriers to care,Wraparound mental health services,This is the key differentiator page. Explain TCM/CSA in human language and connect it to therapy without making it sound institutional.,Appointments; resources; routines; school/home/community settings; Medicaid access; coordination,wraparound programming; continuum of care; behavioral health agency language,/services/,/case-management/; /community-support/,"Broad service template: hero Group, service-routing card Grid, explanatory sections, related services, FAQ section, CTA. Use core Group/Columns/List/Buttons/Details where possible.",,,,,core-service,1,,Community Based Services,/case-management/; /community-support/
/community-support/,23,"Community Support Services in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Community-service page,MedicalWebPage; FAQPage,"Community Support Services in Louisville, KY | LMHG","Community support services in Louisville for skill-building, routines, resource connection, daily-life stability, care coordination, and follow-through.",community support services louisville ky,community support associate louisville ky; medicaid community support louisville ky,"Support where daily life happens; Skills, routines, and follow-through; Community support alongside therapy or case management",Community support / CSA,Explain CSA/community support through examples of day-to-day help. Avoid agency jargon.,Routines; appointments; coping skills practice; community resources; school/home needs; Medicaid support,rehabilitative service delivery; psychosocial rehab terminology without explanation; community programming,/community-based-services/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/community-based-services/,Community Support,
/compliance/,24,"Mental Health Compliance in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,legal-utility,Utility/compliance,MedicalWebPage,"Mental Health Compliance in Louisville, KY | LMHG","Mental health compliance in Louisville, KY at LMHG includes privacy, licensing, ethics, billing, records, and contact questions.",mental health compliance louisville ky,hipaa mental health louisville ky; lmhg compliance,Compliance and privacy information; Licensing and ethical practice; Questions about records or privacy,Compliance and privacy,Keep sober and clear. This page may be more formal than service copy.,Privacy; licensing; ethics; billing; contact process,warm marketing intro; legal overreach; HIPAA claims without review,/faq/,,"Legal/utility template: prose-first, protected copy, minimal CTA pressure, no AI rewriting of legal meaning without explicit review.",,,,,,,,,
/contact-us/,25,Contact Louisville Mental Health Group,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,trust,Contact page,ContactPage,Contact Louisville Mental Health Group | LMHG,"Contact Louisville Mental Health Group about therapy, counseling, case management, community support, insurance, care settings, or starting care.",contact louisville mental health group,start therapy louisville ky; mental health appointment louisville ky,"Start with a simple request; What to include when you reach out; Phone, form, and next-step routing",Conversion / next step,Make this friction-reducing. The visitor should know they do not need to choose the perfect service first.,Phone/form; insurance; age/client concern; setting needs; matching process; response expectations,schedule treatment immediately; submit clinical referral packet; intake bureaucracy,/,,"Trust/support template: warm but factual page structure for team, contact, insurance, reviews, careers. Contact/insurance/cost language must stay consistent.",,,,,,,,,
/couples-conflict-resolution/,26,"Couples Conflict Resolution in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Concern page,MedicalWebPage; FAQPage,"Couples Conflict Resolution in Louisville, KY | LMHG","Couples conflict resolution in Louisville for recurring arguments, escalation, shutdown, repair, communication patterns, and steadier next steps.",couples conflict resolution louisville ky,couples conflict therapy louisville ky; communication counseling for couples louisville ky,When arguments follow the same script; Slowing escalation and shutdown; Repair after conflict,Couples conflict support,Use concrete conflict patterns. Avoid promising relationship outcomes.,Arguments about parenting; silent treatment; defensiveness; repair conversations; when couples counseling fits,fix your relationship fast; conflict elimination; blame framing,/couples-counseling/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/couples-counseling/,Couples Conflict Resolution,
/couples-counseling/,27,"Couples Counseling in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,service,Broad service category,MedicalWebPage; FAQPage,"Couples Counseling in Louisville, KY | LMHG","Couples counseling in Louisville for communication, recurring conflict, emotional distance, trust repair, decision-making, and relationship stress.",couples counseling louisville ky,couples therapy louisville ky; marriage counseling louisville ky,"When the same conflict keeps repeating; Communication, repair, and trust; Counseling for couples who need a steadier conversation",Couples therapy/counseling,"Use search terms like marriage counseling carefully as secondary language, while keeping public copy inclusive and relationship-focused.",Escalation; shutdown; emotional distance; trust; parenting conflict; repair attempts,marital pathology; relational dysfunction; save your marriage guaranteed,/services/,/couples-conflict-resolution/; /relationship-counseling/,"Broad service template: hero Group, service-routing card Grid, explanatory sections, related services, FAQ section, CTA. Use core Group/Columns/List/Buttons/Details where possible.",,,,,core-service,1,,Couples Counseling,/couples-conflict-resolution/; /relationship-counseling/
/court-ordered/,28,"Court-Ordered Services in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,service,Broad service category,MedicalWebPage; FAQPage,"Court-Ordered Family Services in Louisville, KY | LMHG","Court-ordered services in Louisville for family reunification, co-parenting support, documentation questions, family stability, and practical next steps.",court ordered services louisville ky,family court services louisville ky; court ordered counseling louisville ky,Support when family care intersects with court expectations; Clear roles and documentation; Services focused on family stability,Court-involved family support,Be precise and calm. Avoid legal advice. Explain role boundaries and what clients can ask about.,Co-parenting; reunification; documentation; court expectations; family stability; referral questions,legal strategy; custody advice; guaranteed court outcome,/services/,/co-parenting/; /family-reunification/,"Broad service template: hero Group, service-routing card Grid, explanatory sections, related services, FAQ section, CTA. Use core Group/Columns/List/Buttons/Details where possible.",,,,,core-service,1,,Court Ordered Services,/co-parenting/; /family-reunification/
/emdr-therapy/,29,"EMDR Therapy in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Specialty/modality,MedicalWebPage; FAQPage,"EMDR Therapy in Louisville, KY | LMHG","EMDR therapy in Louisville for trauma, PTSD symptoms, anxiety, distressing memories, triggers, and experiences that still affect daily life.",emdr therapy louisville ky,emdr for trauma louisville ky; ptsd therapist louisville ky,When past experiences still feel active; How EMDR may support trauma work; EMDR as one possible therapy path,EMDR / trauma specialty,Explain without overpromising. Avoid technical EMDR detail unless needed.,Triggers; distressing memories; anxiety after trauma; how to ask if EMDR is a fit,reprocess trauma guaranteed; evidence-based buzzword stuffing; bilateral stimulation details as hero copy,/trauma-therapy/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/trauma-therapy/,EMDR Therapy,
/family-reunification/,30,"Family Reunification Services in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,specialty,Court-service page,MedicalWebPage; FAQPage,"Family Reunification Services in Louisville, KY | LMHG","Family reunification services in Louisville for restoring contact, rebuilding trust, supporting communication, and working toward safer family connection.",family reunification services louisville ky,reunification therapy louisville ky; family reunification counseling louisville ky,"Rebuilding contact with structure; Trust, safety, and communication; What reunification support can and cannot do",Reunification support,"Use careful court-adjacent language. Emphasize structure, pacing, safety, and role clarity.",Parent-child contact; trust repair; communication practice; court-related referrals; gradual steps,guaranteed reunification; custody fix; alienation claims as default,/court-ordered/,,"Specialty/service template: hero Group with optional aside, practical support sections, related services/specialties, FAQ, CTA. Start from Gutenberg core blocks and add custom block patterns only after approval.",,,,,specialty-child,2,/court-ordered/,Family Reunification,
/family-therapy/,31,"Family Therapy in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,user-confirmed-service-menu,requires-user-design-transplant-decision,not-approved-for-wordpress-write,service,Broad service category,MedicalWebPage; FAQPage,"Family Therapy in Louisville, KY | LMHG","Family therapy in Louisville for communication, parenting stress, conflict, attachment concerns, routines, trust, and major family transitions.",family therapy louisville ky,family counseling louisville ky; family therapist louisville ky,When the pattern is between people; Support for communication and routines; Family therapy without blame,Family therapy,"Make the family system idea understandable without jargon. Emphasize repair, patterns, and practical home changes.",Repeated arguments; parent-child strain; transitions; reunification stress; caregiver burnout,family system dysfunction; identified patient; clinical family intervention,/services/,/attachment-therapy/; /parenting-support/,"Broad service template: hero Group, service-routing card Grid, explanatory sections, related services, FAQ section, CTA. Use core Group/Columns/List/Buttons/Details where possible.",,,,,core-service,1,,Family Therapy,/attachment-therapy/; /parenting-support/
/faq/,32,"Mental Health Services FAQ in Louisville, KY",matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,faq,FAQ hub,MedicalWebPage,"Mental Health Services FAQ in Louisville, KY | LMHG","Mental health services FAQ in Louisville, KY covering insurance, scheduling, therapy, case management, community support, privacy, and starting care.",mental health services faq louisville ky,therapy faq louisville ky; mental health intake louisville ky,"Questions before starting care; Services, insurance, and care settings; How LMHG helps route requests",Support and objections,Answer practical questions plainly. Avoid turning FAQ into a glossary.,Insurance; Medicaid; first contact; care settings; confidentiality; child therapy questions,policy manual tone; administrative jargon; legalese except where needed,/,/faq/about-lmhg/; /faq/our-approach/; /faq/cost/,FAQ template: question groups using accessible heading structure and Details/Accordion-style blocks if approved; FAQ schema only when visible Q&A content exists.,,,,,,,,,
/faq/about-lmhg/,33,About Louisville Mental Health Group | Therapy and Support,matched-public-and-lmhg,unreviewed,candidate-clean,candidate-mostly-clean,review-needed,requires-user-design-transplant-decision,not-approved-for-wordpress-write,faq,FAQ/support,AboutPage; FAQPage,About Louisville Mental Health Group | Therapy and Support,"Learn about Louisville Mental Health Group, a local practice offering therapy, counseling, targeted case management, and community support.",about louisville mental health group,mental health group louisville ky; louisville mental health services,What kind of practice LMHG is; Not a hospital system or solo therapy office; A team that can route care,About / entity explanation,This is the best place to explain the category nuance directly.,Private practice; multiple providers; therapy + TCM/CSA; not hospital; not national carrier,clinic system; agency program; generic about us mission copy,/faq/,,FAQ template: question groups using accessible heading structure and Details/Accordion-style blocks if approved; FAQ schema only when visible Q&A content exists.,,,,,,,,,
